SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/31/2016,JUST EAST OF DEMMINGS DR INTER/S,B,TC,HAN,n/a,4211,4310,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/19/2016,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5660,5430,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/28/2015,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5427,5020,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,6,2815,2590,E,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6,2725,2500,W,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/22/2012,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5745,5530,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/13/2011,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5640,5420,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11/12/2009,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5145,5260,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/20/2008,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,n/a,5295,5110,n/a,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08/01/2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),A,VC,HAN,5,2666,2360,E,n/a,n/a
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08/01/2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),A,VC,HAN,5,2624,2320,W,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/13/2023,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,5089,4260,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),06/20/2022,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,4548,4090,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2021,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,4365,4150,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,1807,1390,W,n/a,n/a
